version,case,window_index,start,valid,cost,probability
V4,01_1d_tiny_single_gap,0,"(0,)",False,1,0.13284769983066497
V4,01_1d_tiny_single_gap,1,"(1,)",True,0,0.7634230555583972
V4,01_1d_tiny_single_gap,2,"(2,)",False,1,0.05443041541486805
V4,01_1d_tiny_single_gap,3,"(3,)",False,2,0.01676033162518729
V4,01_1d_tiny_single_gap,4,"(4,)",False,1,0.032538497570884166
V4,02_1d_main_reference,0,"(0,)",False,2,0.018927746003349177
V4,02_1d_main_reference,1,"(1,)",False,2,0.017172627152040692
V4,02_1d_main_reference,2,"(2,)",False,1,0.0020361225078984932
V4,02_1d_main_reference,3,"(3,)",True,0,0.7125338744812276
V4,02_1d_main_reference,4,"(4,)",True,0,0.2144771558803455
V4,02_1d_main_reference,5,"(5,)",False,1,0.0021834099133826077
V4,02_1d_main_reference,6,"(6,)",False,2,0.032669064061750436
V4,03_1d_two_free_regions,0,"(0,)",False,2,0.0010192033758467576
V4,03_1d_two_free_regions,1,"(1,)",False,1,0.02498412560654305
V4,03_1d_two_free_regions,2,"(2,)",True,0,0.08542988187141769
V4,03_1d_two_free_regions,3,"(3,)",True,0,0.5035494676183795
V4,03_1d_two_free_regions,4,"(4,)",True,0,0.3753935361214868
V4,03_1d_two_free_regions,5,"(5,)",False,1,0.007430760056808107
V4,03_1d_two_free_regions,6,"(6,)",False,2,0.000413246328615556
V4,03_1d_two_free_regions,7,"(7,)",False,3,0.0017797790209017868
V4,04_1d_clustered_medium,0,"(0,)",False,2,0.00816017998200598
V4,04_1d_clustered_medium,1,"(1,)",False,1,0.04047445072650756
V4,04_1d_clustered_medium,2,"(2,)",True,0,0.3529010446746183
V4,04_1d_clustered_medium,3,"(3,)",False,1,0.0030646757622045887
V4,04_1d_clustered_medium,4,"(4,)",False,2,0.01087992162794979
V4,04_1d_clustered_medium,5,"(5,)",False,3,0.00847016152047822
V4,04_1d_clustered_medium,6,"(6,)",False,2,0.00047590447730214787
V4,04_1d_clustered_medium,7,"(7,)",False,1,0.005892464636077025
V4,04_1d_clustered_medium,8,"(8,)",True,0,0.1620723620307374
V4,04_1d_clustered_medium,9,"(9,)",True,0,0.3423908153133751
V4,04_1d_clustered_medium,10,"(10,)",True,0,0.008121140665060115
V4,04_1d_clustered_medium,11,"(11,)",False,1,0.03735621978631136
V4,04_1d_clustered_medium,12,"(12,)",False,2,0.015523661578481422
V4,04_1d_clustered_medium,13,"(13,)",False,2,0.004216997218890892
V4,05_1d_long_clustered_blocks,0,"(0,)",False,3,0.0002040694617956898
V4,05_1d_long_clustered_blocks,1,"(1,)",False,2,0.0009263837316835878
V4,05_1d_long_clustered_blocks,2,"(2,)",False,1,0.007413377200796987
V4,05_1d_long_clustered_blocks,3,"(3,)",True,0,0.046377824519863935
