case,oracle,shift,boundary_mode,n_anc_bits,n_anc,estimated_total_qubits,num_qubits,W,K,P_uniform,theta_opt,beta_opt,theta_over_pi,beta_over_pi,r_opt,r_star,P_valid,circuit_depth,qiskit_statevector_used,qiskit_circuit_built
01_1d_tiny_single_gap,delta_cost,1,zero,2,5,18,,5,1,0.2,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,39,39,0.8913190212648294,,False,False
02_1d_main_reference,delta_cost,1,zero,2,5,20,,7,2,0.2857142857142857,0.6731984257692414,1.4726215563702154,0.21428571428571427,0.46874999999999994,36,36,0.8689416848540423,,False,False
03_1d_two_free_regions,delta_cost,1,zero,2,5,24,,8,3,0.375,0.4768488849198793,1.0799224746714913,0.15178571428571427,0.34374999999999994,47,47,0.9426951841520047,,False,False
04_1d_clustered_medium,delta_cost,1,zero,2,5,31,,14,4,0.2857142857142857,0.7012483601762931,1.318346917131431,0.22321428571428573,0.41964285714285715,47,47,0.743346917180962,,False,False
05_1d_long_clustered_blocks,delta_cost,1,zero,3,7,52,,29,11,0.3793103448275862,0.9256478354327069,1.2902969827243793,0.29464285714285715,0.4107142857142857,31,31,0.8036031913343722,,False,False
06_2d_tiny_corner_block,delta_cost,1,zero,3,7,26,,4,1,0.25,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,12,12,0.9896395854335164,,False,False
07_2d_small_diagonal_block,delta_cost,1,zero,3,7,35,,9,1,0.1111111111111111,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,40,40,0.8141056384308368,,False,False
08_2d_medium_clustered_obstacles,delta_cost,1,zero,3,7,44,,16,9,0.5625,3.029392915961586,0.7573482289903966,0.9642857142857143,0.24107142857142858,36,36,0.9127480978119745,,False,False
09_2d_rectangular_window,delta_cost,1,zero,3,7,60,,20,8,0.4,0.028049934407051724,0.4347739833093017,0.008928571428571428,0.13839285714285715,25,25,0.793544999356219,,False,False
10_3d_small_clustered_obstacles,delta_cost,1,zero,4,9,78,,18,12,0.6666666666666666,3.029392915961586,0.5609986881410345,0.9642857142857143,0.17857142857142858,7,7,0.9535414467752884,,False,False
