version,case,window_index,start,valid,cost,probability,delta_cost
V5,01_1d_tiny_single_gap,0,"(0,)",False,1,0.028466888263498642,-1
V5,01_1d_tiny_single_gap,1,"(1,)",True,0,0.8913190212648294,1
V5,01_1d_tiny_single_gap,2,"(2,)",False,1,0.019628126659193838,1
V5,01_1d_tiny_single_gap,3,"(3,)",False,2,0.04901985235995322,-1
V5,01_1d_tiny_single_gap,4,"(4,)",False,1,0.011566111452527979,-1
V5,02_1d_main_reference,0,"(0,)",False,2,0.0016990654647713365,0
V5,02_1d_main_reference,1,"(1,)",False,2,0.003575817550235231,-1
V5,02_1d_main_reference,2,"(2,)",False,1,0.06083363360797649,-1
V5,02_1d_main_reference,3,"(3,)",True,0,0.46549635102061615,0
V5,02_1d_main_reference,4,"(4,)",True,0,0.4034453338334262,1
V5,02_1d_main_reference,5,"(5,)",False,1,0.05001872971876939,1
V5,02_1d_main_reference,6,"(6,)",False,2,0.014931068804197012,-2
V5,03_1d_two_free_regions,0,"(0,)",False,2,0.022438988442522134,-1
V5,03_1d_two_free_regions,1,"(1,)",False,1,0.01615523094666427,-1
V5,03_1d_two_free_regions,2,"(2,)",True,0,0.31171782502123524,0
V5,03_1d_two_free_regions,3,"(3,)",True,0,0.3225413987934217,0
V5,03_1d_two_free_regions,4,"(4,)",True,0,0.30843596033734777,1
V5,03_1d_two_free_regions,5,"(5,)",False,1,0.012238649186081117,1
V5,03_1d_two_free_regions,6,"(6,)",False,2,0.0034791379995598444,1
V5,03_1d_two_free_regions,7,"(7,)",False,3,0.002992809273166376,-3
V5,04_1d_clustered_medium,0,"(0,)",False,2,0.021943965517792437,-1
V5,04_1d_clustered_medium,1,"(1,)",False,1,0.09027603645170384,-1
V5,04_1d_clustered_medium,2,"(2,)",True,0,0.11935727257146624,1
V5,04_1d_clustered_medium,3,"(3,)",False,1,0.034965856495278516,1
V5,04_1d_clustered_medium,4,"(4,)",False,2,0.020490534647020702,1
V5,04_1d_clustered_medium,5,"(5,)",False,3,0.015838189829220434,-1
V5,04_1d_clustered_medium,6,"(6,)",False,2,0.005325434446472604,-1
V5,04_1d_clustered_medium,7,"(7,)",False,1,0.05872855715198665,-1
V5,04_1d_clustered_medium,8,"(8,)",True,0,0.23597225582118944,0
V5,04_1d_clustered_medium,9,"(9,)",True,0,0.29861564656488293,0
V5,04_1d_clustered_medium,10,"(10,)",True,0,0.08940174222342336,1
V5,04_1d_clustered_medium,11,"(11,)",False,1,0.004386993241165898,1
V5,04_1d_clustered_medium,12,"(12,)",False,2,0.0023360285742311197,0
V5,04_1d_clustered_medium,13,"(13,)",False,2,0.0023614864641701106,-2
V5,05_1d_long_clustered_blocks,0,"(0,)",False,3,0.002066733932301746,-1
V5,05_1d_long_clustered_blocks,1,"(1,)",False,2,0.0007474072349269896,-1
V5,05_1d_long_clustered_blocks,2,"(2,)",False,1,0.009281066397333622,-1
V5,05_1d_long_clustered_blocks,3,"(3,)",True,0,0.02886461412952759,0
V5,05_1d_long_clustered_blocks,4,"(4,)",True,0,0.13243150328451414,0
V5,05_1d_long_clustered_blocks,5,"(5,)",True,0,0.06953794497623624,1
V5,05_1d_long_clustered_blocks,6,"(6,)",False,1,0.0007315747696743302,1
V5,05_1d_long_clustered_blocks,7,"(7,)",False,2,0.011676626813286056,1
V5,05_1d_long_clustered_blocks,8,"(8,)",False,3,0.0001730139863494733,0
V5,05_1d_long_clustered_blocks,9,"(9,)",False,3,0.00260186036048463,-1
V5,05_1d_long_clustered_blocks,10,"(10,)",False,2,0.02035102558100794,-1
V5,05_1d_long_clustered_blocks,11,"(11,)",False,1,0.00980254419936363,-1
V5,05_1d_long_clustered_blocks,12,"(12,)",True,0,0.03246617329972059,0
V5,05_1d_long_clustered_blocks,13,"(13,)",True,0,0.1325963376765379,0
V5,05_1d_long_clustered_blocks,14,"(14,)",True,0,0.15348056523413564,1
V5,05_1d_long_clustered_blocks,15,"(15,)",False,1,0.036634180797446916,1
V5,05_1d_long_clustered_blocks,16,"(16,)",False,2,0.021094107131595752,0
V5,05_1d_long_clustered_blocks,17,"(17,)",False,2,0.005475761569279364,0
V5,05_1d_long_clustered_blocks,18,"(18,)",False,2,0.015017544718074526,-1
V5,05_1d_long_clustered_blocks,19,"(19,)",False,1,0.0015619871191657716,-1
V5,05_1d_long_clustered_blocks,20,"(20,)",True,0,0.019893009636500425,0
