case,mode,qubits,op_count,shots,backend,valid_count,physical_count,padded_count,P_uniform,P_valid_shots,stderr,P_valid_statevector
01_1d_tiny_single_gap,adjacency,11,200,4096,"AerSimulator(statevector, GPU)",2201,4096,0,0.2,0.537353515625,0.007790668165595244,0.5325495976600776
01_1d_tiny_single_gap,laplacian,11,300,4096,"AerSimulator(statevector, GPU)",2284,4096,0,0.2,0.5576171875,0.0077604557069440765,0.5596601273053579
02_1d_main_reference,adjacency,13,258,4096,"AerSimulator(statevector, GPU)",2334,4096,0,0.2857142857142857,0.56982421875,0.007735946470340944,0.5667790851693418
02_1d_main_reference,laplacian,13,382,4096,"AerSimulator(statevector, GPU)",2065,4096,0,0.2857142857142857,0.504150390625,0.00781223084313943,0.4923279279628778
03_1d_two_free_regions,adjacency,16,350,4096,"AerSimulator(statevector, GPU)",2745,4096,0,0.375,0.670166015625,0.007346135369350495,0.6737539078497344
03_1d_two_free_regions,laplacian,16,478,4096,"AerSimulator(statevector, GPU)",2489,4096,0,0.375,0.607666015625,0.007629225729028601,0.6064939243994455
04_1d_clustered_medium,adjacency,23,600,4096,"AerSimulator(statevector, GPU)",1919,4096,0,0.2857142857142857,0.468505859375,0.007796986458157071,0.47828815751329595
04_1d_clustered_medium,laplacian,23,904,4096,"AerSimulator(statevector, GPU)",1951,4096,0,0.2857142857142857,0.476318359375,0.00780373226601325,0.4777468215221378
06_2d_tiny_corner_block,adjacency,15,232,4096,"AerSimulator(statevector, GPU)",3199,4096,0,0.25,0.781005859375,0.006461947415721082,0.779786134404124
06_2d_tiny_corner_block,laplacian,15,280,4096,"AerSimulator(statevector, GPU)",3199,4096,0,0.25,0.781005859375,0.006461947415721082,0.7797861344041233
07_2d_small_diagonal_block,adjacency,24,504,4096,"AerSimulator(statevector, GPU)",777,4096,0,0.1111111111111111,0.189697265625,0.006125960803137074,0.19016342432052255
07_2d_small_diagonal_block,laplacian,24,724,4096,"AerSimulator(statevector, GPU)",956,4096,0,0.1111111111111111,0.2333984375,0.006609275392137987,0.2360404166911447
