case,mode,qubits,op_count,reason
04_1d_clustered_medium,adjacency,23,600,exact statevector shots limited to 16 qubits; case has 23
04_1d_clustered_medium,laplacian,23,904,exact statevector shots limited to 16 qubits; case has 23
05_1d_long_clustered_blocks,adjacency,41,1393,exact statevector shots limited to 16 qubits; case has 41
05_1d_long_clustered_blocks,laplacian,41,2133,exact statevector shots limited to 16 qubits; case has 41
07_2d_small_diagonal_block,adjacency,24,504,exact statevector shots limited to 16 qubits; case has 24
07_2d_small_diagonal_block,laplacian,24,724,exact statevector shots limited to 16 qubits; case has 24
08_2d_medium_clustered_obstacles,adjacency,33,827,exact statevector shots limited to 16 qubits; case has 33
08_2d_medium_clustered_obstacles,laplacian,33,1147,exact statevector shots limited to 16 qubits; case has 33
09_2d_rectangular_window,adjacency,47,1384,exact statevector shots limited to 16 qubits; case has 47
09_2d_rectangular_window,laplacian,47,1944,exact statevector shots limited to 16 qubits; case has 47
10_3d_small_clustered_obstacles,adjacency,61,1583,exact statevector shots limited to 16 qubits; case has 61
10_3d_small_clustered_obstacles,laplacian,61,2095,exact statevector shots limited to 16 qubits; case has 61
11_1d_dual_clustered_gaps,adjacency,51,2025,exact statevector shots limited to 16 qubits; case has 51
11_1d_dual_clustered_gaps,laplacian,51,3193,exact statevector shots limited to 16 qubits; case has 51
12_1d_staggered_clustered_barriers,adjacency,60,2767,exact statevector shots limited to 16 qubits; case has 60
12_1d_staggered_clustered_barriers,laplacian,60,4139,exact statevector shots limited to 16 qubits; case has 60
13_2d_corridor_clusters,adjacency,45,1279,exact statevector shots limited to 16 qubits; case has 45
13_2d_corridor_clusters,laplacian,45,1947,exact statevector shots limited to 16 qubits; case has 45
14_2d_rooms_and_walls,adjacency,60,2020,exact statevector shots limited to 16 qubits; case has 60
14_2d_rooms_and_walls,laplacian,60,2772,exact statevector shots limited to 16 qubits; case has 60
15_2d_grouped_islands,adjacency,79,3304,exact statevector shots limited to 16 qubits; case has 79
15_2d_grouped_islands,laplacian,79,4472,exact statevector shots limited to 16 qubits; case has 79
16_2d_narrow_passages,adjacency,75,2812,exact statevector shots limited to 16 qubits; case has 75
16_2d_narrow_passages,laplacian,75,4156,exact statevector shots limited to 16 qubits; case has 75
17_2d_large_clustered_office,adjacency,96,4435,exact statevector shots limited to 16 qubits; case has 96
17_2d_large_clustered_office,laplacian,96,5943,exact statevector shots limited to 16 qubits; case has 96
18_2d_rectangular_window_clusters,adjacency,94,3730,exact statevector shots limited to 16 qubits; case has 94
18_2d_rectangular_window_clusters,laplacian,94,5150,exact statevector shots limited to 16 qubits; case has 94
19_3d_dual_room_clusters,both,114,nan,qubits 114 > cap 100
20_3d_layered_obstacle_bands,both,134,nan,qubits 134 > cap 100
