case,dimension,W,K,sqrt_W,P_uniform,t_uncapped,P_uncapped,t_capped,P_capped,gain_capped,retention_vs_uncapped,lambda_capped,lambda_uncapped
01_1d_tiny_single_gap,1,5,1,2.23606797749979,0.2,6.501625406351589,0.7901133498955069,0.6105992076593575,0.5270202815707545,0.3270202815707545,0.6670185760567815,3.2955365681254354,1.9712704538484989
02_1d_main_reference,1,7,2,2.6457513110645907,0.2857142857142857,2.000500125031258,0.8673059923097681,1.568661254947273,0.7883412512858949,0.5026269655716092,0.9089540004058106,1.2880631382814454,0.889852214622646
03_1d_two_free_regions,1,8,3,2.8284271247461903,0.375,2.5006251562890727,0.9463769997150016,1.9018856060121296,0.8670270196852798,0.49202701968527984,0.9161539428223449,0.9304036594559837,0.6399106766215139
04_1d_clustered_medium,1,14,4,3.7416573867739413,0.2857142857142857,87.52188047011754,0.8614565602970682,1.0301487328927506,0.6201085090386608,0.3343942233243751,0.719837235698594,2.2856583060880697,2.767026836601557
05_1d_long_clustered_blocks,1,29,11,5.385164807134504,0.3793103448275862,97.02425606401601,0.9153010811274965,2.710761879660354,0.8028295820815597,0.42351923725397356,0.8771207623753805,0.866452115304929,3.1658084612197164
06_2d_tiny_corner_block,2,4,1,2.0,0.25,4.501125281320331,0.9282246751052754,0.8542135533883471,0.7954279658591724,0.5454279658591724,0.8569347348678898,3.2114285714285717,2.1476278813861014
07_2d_small_diagonal_block,2,9,1,3.0,0.1111111111111111,2.000500125031258,0.7531509773734956,1.7779444861215303,0.7031845001681001,0.5920733890569889,0.9336567584634274,3.1184210526315788,3.08
08_2d_medium_clustered_obstacles,2,16,9,4.0,0.5625,1.000250062515629,0.9305201528992736,0.48112028007001756,0.8381998124734809,0.27569981247348085,0.9007863073807213,3.8421052631578947,1.631578947368421
09_2d_rectangular_window,2,20,8,4.47213595499958,0.4,1.5003750937734435,0.9058853553669306,0.8420901160576852,0.8506835905269305,0.4506835905269305,0.9390631888318357,3.2800971107139856,2.6440776885711883
10_3d_small_clustered_obstacles,3,18,12,4.242640687119285,0.6666666666666666,0.5001250312578145,0.9689013816823191,0.2737187540076958,0.884768506039358,0.21810183937269134,0.9131667296243505,6.132343838741835,3.719406303245101
11_3d_dual_room_clusters,3,48,26,6.928203230275509,0.5416666666666666,1.000250062515629,0.9218861093740581,0.5318725660651615,0.8822641036848635,0.3405974370181969,0.9570207151552623,5.186738042217085,3.0606585272609323
12_3d_layered_obstacle_bands,3,60,32,7.745966692414834,0.5333333333333333,2.5006251562890727,0.9345147546962089,0.4474414368461682,0.8613711196089558,0.3280377862756225,0.9217308932580411,4.99411010432009,2.548015359346985
13_3d_rectangular_window_clusters,3,48,14,6.928203230275509,0.2916666666666667,2.000500125031258,0.8735202650937461,1.4882036946253219,0.8177294236795111,0.5260627570128444,0.9361310279295608,3.0606585272609323,2.8259776334018523
14_4d_small_corner_clusters,4,36,6,6.0,0.16666666666666666,1.5003750937734435,0.9042646383056263,1.1222805701425356,0.8357018150026057,0.669035148335939,0.9241783650508651,4.371428571428571,3.8101619181250594
15_4d_layered_corridors,4,54,30,7.3484692283495345,0.5555555555555556,2.000500125031258,0.9275587877190015,0.3564898800449636,0.8419419646081561,0.2863864090526005,0.9076966072184068,6.4782557670976155,4.157686537092499
16_4d_rectangular_window,4,108,90,10.392304845413264,0.8333333333333334,0.5001250312578145,0.983229749715372,0.10135030982023438,0.8899981493389975,0.05666481600566409,0.9051782145491799,14.084307882599553,4.238966450102779
17_4d_grouped_islands,4,64,26,8.0,0.40625,5.001250312578145,0.9312469800875435,0.9542385596399101,0.8646441374330632,0.45839413743306323,0.9284799370321511,3.894736842105263,3.52
18_5d_tiny_hypercube_clusters,5,32,26,5.656854249492381,0.8125,0.5001250312578145,0.9865671579074662,0.11740907794645351,0.9028496820461391,0.09034968204613913,0.9151426487387905,12.984238284554012,3.321059571138503
19_5d_layered_sparse_obstacles,5,48,13,6.928203230275509,0.2708333333333333,11.002750687671918,0.8970227131000565,1.5384457285533013,0.8627500989568496,0.5919167656235163,0.9617929249252086,2.2790142204853647,2.7542004494310546
20_5d_rectangular_hyperwindow,5,108,79,10.392304845413264,0.7314814814814815,0.5001250312578145,0.9729261672878389,0.16891718303372397,0.878426009151321,0.14694452766983945,0.9028701649582006,10.826519873304633,4.5452735051771125
